,Object Begin Date,Historical Period,height,diam,width,depth,num_period,medium_num,classif_num,culture_num
2328,1,Antiquity,7.3,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9941093308199815
10730,-750,Antiquity,10.0,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.99710843373494
6906,-500,Antiquity,-1.0,14.9,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
4627,0,Antiquity,3.8,-1.0,8.3,-1.0,4.0,1.981003799240152,1.9660783101003851,2.1368655657988045
6317,-300,Antiquity,10.8,-1.0,13.34,-1.0,4.0,1.8542148760330581,1.9660783101003851,4.0
7512,-1046,Antiquity,-1.0,-1.0,-1.0,45.7,4.0,3.0460615153788453,2.533376226475792,2.1368655657988045
2725,-3900,Antiquity,1.1,-1.0,0.4,-1.0,4.0,2.9278826838087584,3.995565410199557,3.99710843373494
7375,-700,Antiquity,-1.0,4.5,-1.0,-1.0,4.0,3.0460615153788453,2.533376226475792,3.981916817359856
10097,-2250,Antiquity,3.25,-1.0,3.76,-1.0,4.0,3.2165551839464883,3.1944444444444446,4.0
8787,100,Antiquity,-1.0,4.1,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9941093308199815
2712,-599,Antiquity,20.6,-1.0,15.2,-1.0,4.0,3.8754961630060873,3.993417115499701,4.0
6189,-490,Antiquity,9.2,-1.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.9059653916211294
6172,0,Antiquity,19.3,24.0,-1.0,-1.0,4.0,2.1510791366906474,2.0561683195847618,1.8158293277144928
143,-475,Antiquity,-1.0,15.7,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
11540,-550,Antiquity,-1.0,15.9,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
8152,-1999,Antiquity,-1.0,9.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,4.0
3494,-330,Antiquity,62.9,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
11236,-399,Antiquity,17.6,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9956568946796964
3649,-899,Antiquity,-1.0,11.3,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,4.0
7067,-2300,Antiquity,-1.0,2.31,-1.0,-1.0,4.0,3.2165551839464883,2.533376226475792,4.0
3386,200,Antiquity,3.8,-1.0,8.9,-1.0,4.0,3.8754961630060873,3.993417115499701,3.9941093308199815
12412,100,Antiquity,6.3,-1.0,4.5,-1.0,4.0,3.8754961630060873,2.3928881179531656,2.5593719332679097
10024,300,Antiquity,2.9,-1.0,7.3,-1.0,4.0,3.8754961630060873,3.993417115499701,3.9941093308199815
13261,-3600,Antiquity,2.3,-1.0,3.3,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.5454545454545454
2184,-599,Antiquity,17.5,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
5662,-200,Antiquity,14.3,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9059653916211294
811,-699,Antiquity,7.6,-1.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.9059653916211294
1813,-200,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,1.8542148760330581,1.9660783101003851,3.69811320754717
1764,-575,Antiquity,9.6,-1.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.9059653916211294
3225,-399,Antiquity,6.3,-1.0,-1.0,-1.0,4.0,2.1820083682008367,3.995565410199557,3.9059653916211294
6083,-225,Antiquity,1.6,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,4.0
2143,-3,Antiquity,-1.0,2.21,-1.0,-1.0,4.0,2.20310116929334,2.533376226475792,4.0
3751,50,Antiquity,32.6,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9941093308199815
2206,-525,Antiquity,38.7,-1.0,14.9,12.7,4.0,3.8754961630060873,3.993417115499701,3.9059653916211294
8315,300,Antiquity,10.9,-1.0,9.2,-1.0,4.0,3.08715953307393,3.0804206161137437,3.3641912512716177
1715,250,Antiquity,3.8,-1.0,5.7,-1.0,4.0,3.8754961630060873,2.0561683195847618,3.9
13071,-480,Antiquity,28.4,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
10713,-499,Antiquity,-1.0,2.4,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9059653916211294
4857,-550,Antiquity,7.0,-1.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.9956568946796964
10523,-560,Antiquity,40.5,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
9285,-400,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
9561,250,Antiquity,7.0,-1.0,6.7,1.3,4.0,3.8754961630060873,2.0561683195847618,3.9
8522,-330,Antiquity,-1.0,19.4,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
9116,-1046,Antiquity,13.2,-1.0,13.0,-1.0,4.0,3.0460615153788453,2.533376226475792,2.1368655657988045
9740,200,Antiquity,4.75,-1.0,3.18,-1.0,4.0,3.08715953307393,3.0804206161137437,3.8495575221238933
5811,-625,Antiquity,-1.0,13.6,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9956568946796964
5730,100,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,2.8318584070796464,3.0598851517637407,3.2494577006507592
78,-2800,Antiquity,0.5,-1.0,4.1,-1.0,4.0,2.8318584070796464,2.533376226475792,3.981916817359856
10890,400,Antiquity,3.2,-1.0,7.9,-1.0,4.0,3.8754961630060873,3.993417115499701,3.9941093308199815
5369,-399,Antiquity,25.0,-1.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.9059653916211294
1758,-600,Antiquity,5.7,-1.0,2.8,0.7,4.0,3.0460615153788453,3.998734977862112,4.0
3478,364,Antiquity,2.1,-1.0,0.1,-1.0,4.0,2.9278826838087584,3.040983606557377,3.1739130434782608
3503,-330,Antiquity,11.3,-1.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.9956568946796964
6561,-525,Antiquity,6.7,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9059653916211294
540,100,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,2.9278826838087584,3.0598851517637407,3.9722222222222223
2649,200,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.8754961630060873,2.0561683195847618,4.0
10170,-499,Antiquity,29.4,-1.0,13.7,-1.0,4.0,3.0460615153788453,3.998734977862112,3.9956568946796964
6856,-99,Antiquity,3.1,-1.0,2.4,0.7,4.0,3.8754961630060873,3.9998039600078417,3.9941093308199815
7091,1,Antiquity,5.6,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9941093308199815
4538,-550,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
9505,100,Antiquity,2.2,-1.0,2.6,1.2,4.0,2.9278826838087584,3.993197278911565,3.9941093308199815
11211,-490,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
11863,-1050,Antiquity,12.7,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.99710843373494
11782,-2300,Antiquity,8.1,-1.0,-1.0,-1.0,4.0,2.1820083682008367,3.995565410199557,4.0
8054,-7000,Antiquity,12.1,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.993417115499701,3.9059653916211294
11275,-1400,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.993417115499701,4.0
1151,-900,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.655913978494624,2.533376226475792,3.981916817359856
12648,-420,Antiquity,-1.0,4.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
5368,100,Antiquity,11.7,-1.0,2.3,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9941093308199815
5217,-550,Antiquity,-1.0,9.1,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9956568946796964
6514,250,Antiquity,10.8,12.7,15.9,-1.0,4.0,3.8754961630060873,2.0561683195847618,3.9
5287,300,Antiquity,9.2,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9941093308199815
5540,0,Antiquity,49.5,-1.0,201.3,-1.0,4.0,1.7280405405405406,2.1531914893617023,2.1368655657988045
7681,-399,Antiquity,7.3,-1.0,18.7,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
8684,-99,Antiquity,1.9,-1.0,1.4,0.6,4.0,3.08715953307393,3.993197278911565,3.9941093308199815
10612,-440,Antiquity,43.8,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
13306,300,Antiquity,7.0,-1.0,4.7,2.4,4.0,3.08715953307393,3.0804206161137437,3.3641912512716177
1401,-599,Antiquity,19.1,-1.0,25.4,4.4,4.0,3.8754961630060873,3.993417115499701,4.0
2052,-3900,Antiquity,-1.0,15.4,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.99710843373494
10475,-440,Antiquity,-1.0,9.8,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
111,-550,Antiquity,5.9,-1.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.9956568946796964
9594,-699,Antiquity,13.0,-1.0,8.1,-1.0,4.0,3.0460615153788453,2.533376226475792,3.7804878048780486
12830,-750,Antiquity,14.0,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.993417115499701,3.99710843373494
13136,-699,Antiquity,10.2,-1.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.99710843373494
3231,-600,Antiquity,10.2,-1.0,10.5,3.8,4.0,3.8754961630060873,3.9998039600078417,3.9956568946796964
4741,-450,Antiquity,31.7,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
6126,0,Antiquity,9.8,-1.0,5.1,-1.0,4.0,1.981003799240152,1.9660783101003851,1.8158293277144928
1731,-500,Antiquity,38.4,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
12046,300,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,2.8318584070796464,3.0598851517637407,4.0
5212,-3900,Antiquity,-1.0,4.5,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.99710843373494
4567,-200,Antiquity,5.6,-1.0,0.9,-1.0,4.0,2.926136363636364,3.0804206161137437,3.9059653916211294
1077,-550,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.9956568946796964
2891,-2000,Antiquity,10.2,-1.0,10.5,-1.0,4.0,3.0460615153788453,2.533376226475792,4.0
1123,-670,Antiquity,-1.0,5.9,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9941093308199815
1774,-499,Antiquity,8.2,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.993417115499701,3.99710843373494
11470,-850,Antiquity,-1.0,60.3,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.99710843373494
4248,-500,Antiquity,1.8,-1.0,0.5,1.5,4.0,3.145038167938931,3.995565410199557,3.99710843373494
12783,-670,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9941093308199815
12225,300,Antiquity,17.9,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9941093308199815
972,-1800,Antiquity,8.31,-1.0,5.31,-1.0,4.0,3.1666666666666665,4.0,4.0
3908,-475,Antiquity,7.2,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
3603,-99,Antiquity,4.6,-1.0,10.8,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9059653916211294
589,-25,Antiquity,2.5,-1.0,4.3,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9941093308199815
8139,-800,Antiquity,5.41,-1.0,2.21,5.11,4.0,3.0460615153788453,2.533376226475792,4.0
9760,-500,Antiquity,11.4,9.8,-1.0,-1.0,4.0,3.0460615153788453,3.0517543859649123,3.9126213592233015
7838,0,Antiquity,50.8,-1.0,-1.0,-1.0,4.0,1.8854166666666667,2.0561683195847618,1.8158293277144928
11337,-550,Antiquity,12.9,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9306358381502884
6394,-7000,Antiquity,3.9,-1.0,4.5,0.6,4.0,3.8754961630060873,3.9998039600078417,4.0
9369,-1000,Antiquity,-1.0,-1.0,12.7,-1.0,4.0,3.0460615153788453,3.0517543859649123,3.3018018018018016
8150,400,Antiquity,8.3,-1.0,26.0,-1.0,4.0,2.9278826838087584,2.378571428571429,1.8716605552645365
5637,-500,Antiquity,24.8,-1.0,6.0,6.0,4.0,3.0460615153788453,3.998734977862112,4.0
6206,-900,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.655913978494624,2.533376226475792,3.981916817359856
4251,400,Antiquity,10.4,-1.0,5.0,0.7,4.0,2.926136363636364,3.0804206161137437,3.1739130434782608
7484,100,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9941093308199815
1251,-670,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,2.9278826838087584,3.995565410199557,3.9941093308199815
2684,300,Antiquity,30.9,-1.0,4.5,-1.0,4.0,3.1190476190476186,2.533376226475792,3.8412698412698414
4112,-300,Antiquity,-1.0,8.9,-1.0,-1.0,4.0,3.0460615153788453,3.0517543859649123,3.3018018018018016
9398,-420,Antiquity,54.0,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
11702,-900,Antiquity,-1.0,0.99,-1.0,-1.0,4.0,3.0460615153788453,2.533376226475792,3.981916817359856
480,1,Antiquity,2.57,-1.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.9941093308199815
13052,0,Antiquity,4.1,-1.0,5.1,-1.0,4.0,1.981003799240152,1.9660783101003851,3.2530120481927716
11216,-2000,Antiquity,4.8,-1.0,4.6,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
2902,-199,Antiquity,4.8,-1.0,10.2,-1.0,4.0,3.0460615153788453,2.533376226475792,3.02247191011236
13269,300,Antiquity,5.1,-1.0,2.5,-1.0,4.0,3.08715953307393,3.0804206161137437,3.3641912512716177
4995,1,Antiquity,6.6,-1.0,4.5,0.8,4.0,3.2165551839464883,2.533376226475792,3.9941093308199815
6512,-400,Antiquity,3.81,-1.0,29.85,-1.0,4.0,1.8542148760330581,1.9660783101003851,4.0
7344,-499,Antiquity,44.5,-1.0,-1.0,-1.0,4.0,3.655913978494624,2.533376226475792,2.1368655657988045
8248,-2000,Antiquity,3.6,-1.0,5.1,0.8,4.0,3.8754961630060873,3.9998039600078417,4.0
6142,-300,Antiquity,12.07,-1.0,22.23,-1.0,4.0,1.8542148760330581,1.9660783101003851,4.0
11103,-300,Antiquity,-1.0,5.5,-1.0,-1.0,4.0,2.9331046312178386,3.0598851517637407,4.0
2113,-1600,Antiquity,30.5,-1.0,12.0,31.8,4.0,3.0460615153788453,2.533376226475792,2.1368655657988045
7190,0,Antiquity,10.2,-1.0,7.6,-1.0,4.0,1.981003799240152,1.9660783101003851,2.1368655657988045
3571,-1400,Antiquity,1.8,-1.0,1.4,0.4,4.0,2.9278826838087584,3.995565410199557,4.0
9757,-1550,Antiquity,1.9,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,2.9325842696629216
7315,-199,Antiquity,-1.0,15.01,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
9133,-300,Antiquity,-1.0,8.5,-1.0,-1.0,4.0,2.8318584070796464,3.0598851517637407,4.0
13114,-3900,Antiquity,1.1,-1.0,0.1,-1.0,4.0,2.9278826838087584,3.995565410199557,3.99710843373494
4778,-900,Antiquity,4.7,-1.0,2.7,6.8,4.0,3.0460615153788453,2.533376226475792,3.981916817359856
7651,-699,Antiquity,12.1,-1.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.9059653916211294
13061,1,Antiquity,2.1,-1.0,1.9,1.0,4.0,2.20310116929334,2.533376226475792,3.0843537414965985
5207,75,Antiquity,14.0,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9941093308199815
1824,300,Antiquity,9.1,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9941093308199815
6861,-300,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,2.8318584070796464,3.0598851517637407,4.0
3601,-480,Antiquity,-1.0,30.2,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
11130,-600,Antiquity,23.4,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.993417115499701,3.99710843373494
5714,176,Antiquity,1.9,-1.0,0.2,-1.0,4.0,2.20310116929334,3.040983606557377,3.9941093308199815
10618,-550,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.9059653916211294
5281,100,Antiquity,11.5,-1.0,6.4,1.8,4.0,2.776119402985074,2.533376226475792,3.9941093308199815
429,-699,Antiquity,-1.0,11.5,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,4.0
1456,-330,Antiquity,16.2,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
6877,-25,Antiquity,2.6,-1.0,2.8,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9941093308199815
9856,200,Antiquity,4.9,8.4,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9941093308199815
856,-900,Antiquity,27.5,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.993417115499701,3.9306358381502884
9050,-250,Antiquity,4.4,23.7,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9956568946796964
5197,-900,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,2.9278826838087584,3.995565410199557,3.9956568946796964
9392,90,Antiquity,2.1,-1.0,8.4,-1.0,4.0,3.8754961630060873,3.993417115499701,3.9941093308199815
10002,1,Antiquity,-1.0,7.1,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9941093308199815
9418,-324,Antiquity,13.1,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.993417115499701,3.9059653916211294
10856,-299,Antiquity,8.3,-1.0,14.6,-1.0,4.0,3.0460615153788453,2.533376226475792,1.5933609958506223
5638,-206,Antiquity,2.5,-1.0,1.3,7.6,4.0,2.0835561497326203,2.3928881179531656,2.1368655657988045
6320,-499,Antiquity,-1.0,8.7,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.9956568946796964
4439,-450,Antiquity,36.5,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
11925,200,Antiquity,16.4,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9941093308199815
10305,-800,Antiquity,2.21,-1.0,1.4,2.31,4.0,3.08715953307393,3.0804206161137437,4.0
13247,-499,Antiquity,8.9,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9059653916211294
3803,-699,Antiquity,-1.0,7.6,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.99710843373494
11513,-1600,Antiquity,7.8,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,4.0
12848,400,Antiquity,16.8,-1.0,-1.0,-1.0,4.0,1.9447983014862,2.0561683195847618,2.536977491961415
13221,-199,Antiquity,7.1,-1.0,10.8,-1.0,4.0,3.0460615153788453,2.533376226475792,3.02247191011236
9181,-3900,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,2.9278826838087584,3.995565410199557,3.99710843373494
12056,200,Antiquity,1.27,-1.0,4.75,-1.0,4.0,3.0460615153788453,2.533376226475792,3.8495575221238933
9009,-525,Antiquity,-1.0,42.5,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
7243,-3900,Antiquity,22.1,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.99710843373494
8003,-2300,Antiquity,-1.0,6.4,-1.0,-1.0,4.0,3.0460615153788453,2.533376226475792,4.0
4782,100,Antiquity,12.4,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9941093308199815
8949,-800,Antiquity,-1.0,7.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,4.0
13063,-530,Antiquity,28.5,-1.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.9059653916211294
2810,-600,Antiquity,15.66,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.993417115499701,3.99710843373494
7738,-499,Antiquity,0.6,-1.0,1.3,1.0,4.0,2.9278826838087584,3.993197278911565,3.99710843373494
4943,-699,Antiquity,-1.0,5.1,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.99710843373494
7316,-1500,Antiquity,49.5,-1.0,37.5,-1.0,4.0,2.8318584070796464,2.533376226475792,2.5593719332679097
9030,-4000,Antiquity,-1.0,-1.0,7.0,-1.0,4.0,3.0460615153788453,3.0517543859649123,3.3018018018018016
3462,100,Antiquity,16.0,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9941093308199815
10663,300,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.3641912512716177
2138,-4000,Antiquity,-1.0,6.4,-1.0,-1.0,4.0,3.0460615153788453,3.0517543859649123,3.3018018018018016
2032,300,Antiquity,20.2,-1.0,38.3,13.2,4.0,1.7721518987341771,2.3928881179531656,3.3641912512716177
10058,50,Antiquity,-1.0,0.9,-1.0,-1.0,4.0,2.20310116929334,2.533376226475792,4.0
6902,-899,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,4.0
